buckets_per_day,vpin_window,bucket_size,total_pnl,buy_hold_pnl,excess_return,num_exits,win_rate,max_drawdown,num_buckets
25,15,51358.03644618468,1285.2395809793209,6752.337408863647,-5467.097827884327,84,50.0,-515.2870689057333,55175
25,20,51358.03644618468,1243.093680824388,6805.644042972112,-5562.550362147725,74,54.054054054054056,-481.5015179593721,55175
25,30,51358.03644618468,1359.930583268549,6946.406745868522,-5586.476162599973,65,56.92307692307692,-481.05679087365047,55175
25,50,51358.03644618468,1682.961757410767,6835.008802777343,-5152.047045366576,62,50.0,-1561.8317863746229,55175
25,75,51358.03644618468,1902.529782843996,6802.250579732714,-4899.720796888718,72,51.388888888888886,-1581.4959960604658,55175
25,100,51358.03644618468,1875.528266988409,6631.732364007341,-4756.204097018932,67,35.82089552238806,-1561.8317863746229,55175
25,125,51358.03644618468,1800.5558067404688,6475.779677351071,-4675.223870610602,60,38.333333333333336,-1562.6690842206553,55175
25,150,51358.03644618468,1849.5814651189335,6228.170006647432,-4378.588541528499,65,38.46153846153847,-1581.329774521565,55175
25,175,51358.03644618468,1613.7167109251611,6198.860455234333,-4585.143744309172,75,40.0,-1581.329774521565,55175
25,200,51358.03644618468,1786.5109567142517,6436.457194306142,-4649.94623759189,83,40.963855421686745,-1561.3070546904653,55175
25,250,51358.03644618468,1549.9608318842704,6232.884142024188,-4682.923310139918,93,29.03225806451613,-1543.7699510995728,55175
25,300,51358.03644618468,1633.4559278539962,6039.095824884847,-4405.639897030851,98,32.6530612244898,-1615.7854400358055,55175
50,15,25679.01822309234,1016.9203184724621,6749.020554782008,-5732.100236309546,124,57.25806451612904,-346.3934420272094,110350
50,20,25679.01822309234,1111.398389036493,6740.195181111976,-5628.796792075484,109,54.12844036697248,-390.57563551805947,110350
50,30,25679.01822309234,1337.5000852986784,6737.405770240871,-5399.905684942192,85,52.94117647058824,-517.8393377603219,110350
50,50,25679.01822309234,1304.7140986243837,6882.372538047315,-5577.658439422931,72,50.0,-483.17680921069064,110350
50,75,25679.01822309234,1404.4868479123334,7138.003061940283,-5733.51621402795,75,50.66666666666667,-498.1163213217144,110350
50,100,25679.01822309234,1729.9297809800883,6799.52603960915,-5069.596258629062,71,43.66197183098591,-1572.891784155835,110350
50,125,25679.01822309234,1609.7841955941494,6811.4757469295955,-5201.691551335446,71,45.07042253521127,-1586.0836741690837,110350
50,150,25679.01822309234,1921.7913052588844,6778.363993264055,-4856.572688005171,87,44.827586206896555,-1590.8405826261476,110350
50,175,25679.01822309234,1620.3478907810575,6732.297767937618,-5111.94987715656,74,45.94594594594595,-1590.8405826261474,110350
50,200,25679.01822309234,1610.064325563838,6601.841317230289,-4991.776991666451,70,40.0,-1566.0538985375438,110350
50,250,25679.01822309234,1507.1067028302696,6448.500784374993,-4941.394081544723,69,34.78260869565217,-1569.9096491539394,110350
50,300,25679.01822309234,1588.8667925843706,6209.186052910592,-4620.319260326221,82,39.02439024390244,-1581.3564168800258,110350
75,15,17119.34548206156,1103.5949505498556,6705.7692898687665,-5602.174339318911,158,58.86075949367089,-346.74093937092744,165525
75,20,17119.34548206156,1069.3251990609585,6701.183220960747,-5631.858021899789,135,54.074074074074076,-346.94360191835983,165525
75,30,17119.34548206156,1318.3583712020486,6721.910319361622,-5403.551948159573,116,52.58620689655172,-517.2973879632085,165525
75,50,17119.34548206156,1324.3987527887007,6748.85250866828,-5424.45375587958,85,52.94117647058824,-482.1184131644262,165525
