time,buy_volume,sell_volume,total_volume,price,OI,OI_rolling_sum,VPIN,CDF
2025-10-30 04:35:00,16257.38185731356,14819.507057242909,31076.888914556468,1107.305,1437.874800070651,115497.29249496668,0.09291252803049048,0.15207877461706784
2025-10-30 05:39:00,16903.089368894125,14173.799545662314,31076.88891455644,1115.4499999999998,2729.289823231811,115783.57401556386,0.09314282901185987,0.1551912568306011
2025-10-30 08:12:00,17094.796035298048,13982.092879258415,31076.88891455646,1120.75,3112.7031560396335,117784.47806846924,0.0947524689426833,0.1703056768558952
2025-10-30 10:21:00,16915.358668526995,14161.530246029472,31076.888914556468,1120.4050000000002,2753.828422497523,115932.82744175188,0.0932628968753117,0.15502183406113537
2025-10-30 11:20:00,13183.521468349143,17893.367446207318,31076.88891455646,1097.92,4709.845977858175,115760.57809141652,0.09312432979511831,0.15376226826608505
2025-10-30 12:43:00,12810.002992566346,18266.885921990113,31076.88891455646,1087.1,5456.882929423768,118537.61715492011,0.09535833644805165,0.17429193899782136
2025-10-30 13:37:00,13648.2563937172,17428.632520839266,31076.888914556468,1085.06,3780.3761271220665,117983.64925101971,0.09491269346121384,0.1719260065288357
2025-10-30 14:14:00,14494.521987008771,16582.366927547708,31076.88891455648,1082.5149999999999,2087.8449405389365,115599.75752359652,0.09299495667136214,0.15217391304347827
2025-10-30 15:23:00,13691.797620813415,17385.09129374307,31076.888914556483,1079.38,3693.2936729296543,118863.54432039303,0.09562053061939313,0.1791530944625407
2025-10-30 16:55:00,12975.080124703029,18101.808789853425,31076.888914556454,1068.73,5126.728665150396,118143.34135653115,0.09504115878632288,0.1737242128121607
2025-10-30 18:21:00,11722.68311403807,19354.20580051838,31076.888914556446,1056.7649999999999,7631.52268648031,123279.59416923096,0.09917304987331484,0.2592190889370933
2025-10-30 20:02:00,9983.200171209288,21093.68874334718,31076.888914556468,1053.6,11110.48857213789,134175.26079855458,0.10793813786143394,0.4582881906825569
2025-10-30 20:11:00,14926.84967108823,16150.039243468249,31076.88891455648,1070.54,1223.189572380019,132972.13808607202,0.10697027817976629,0.4329004329004329
2025-10-30 21:54:00,17696.950727413692,13379.938187142787,31076.88891455648,1080.81,4317.012540270905,133968.8364219021,0.10777207846499626,0.4562162162162162
2025-10-31 00:19:00,17749.510287295616,13327.378627260872,31076.88891455649,1079.79,4422.131660034744,138011.18482303456,0.11102397122382952,0.518918918918919
2025-10-31 02:09:00,17920.76415395823,13156.12476059826,31076.88891455649,1093.665,4764.639393359968,140201.69399183308,0.11278614019030904,0.5561555075593952
2025-10-31 04:23:00,16575.989396450153,14500.899518106322,31076.888914556475,1100.65,2075.0898783438315,141243.7045197002,0.11362439215524354,0.5712742980561555
2025-10-31 06:03:00,15611.098888740698,15465.790025815772,31076.888914556468,1095.845,145.30886292492687,137344.39705831275,0.1104875695858188,0.5037756202804746
2025-10-31 07:30:00,17283.000714818314,13793.888199738156,31076.888914556468,1102.065,3489.112515080158,134863.22164505377,0.10849157231910334,0.4703344120819849
2025-10-31 08:37:00,15182.770365929644,15894.118548626824,31076.888914556468,1097.975,711.3481826971802,127134.09064719363,0.1022738239634758,0.32470334412081986
2025-10-31 09:15:00,13542.769316580048,17534.119597976427,31076.888914556475,1092.98,3991.3502813963787,125838.51252822505,0.1012315879448297,0.30064655172413796
2025-10-31 09:48:00,13336.628904133195,17740.260010423288,31076.888914556483,1088.63,4403.631106290093,129729.84797470288,0.10436199737639856,0.38105489773950485
2025-10-31 10:27:00,17056.956629262007,14019.932285294459,31076.888914556468,1087.095,3037.0243439675487,132269.51325448326,0.10640504718647045,0.41657696447793324
2025-10-31 11:00:00,14764.578306615716,16312.310607940752,31076.888914556468,1083.5700000000002,1547.7323013250352,130406.47610363702,0.10490631515768813,0.3870967741935484
2025-10-31 11:04:00,14598.71634679318,16478.172567763293,31076.888914556475,1082.93,1879.4562209701126,127678.22094180904,0.10271155302325351,0.33619763694951665
2025-10-31 11:15:00,17030.91510246683,14045.973812089629,31076.88891455646,1085.555,2984.9412903772027,130006.47804066574,0.10458453418399491,0.3830472103004292
2025-10-31 11:48:00,17616.614994159023,13460.273920397447,31076.888914556468,1081.01,4156.341073761576,133910.77210634408,0.10772536825880602,0.4512325830653805
2025-10-31 12:42:00,16030.601820120626,15046.287094435846,31076.88891455647,1081.185,984.3147256847806,133039.17490158157,0.10702420637033731,0.43086816720257237
2025-10-31 14:12:00,14364.750247599657,16712.138666956802,31076.88891455646,1083.415,2347.388419357145,132862.12646275,0.10688177863302553,0.4282655246252677
2025-10-31 16:13:00,13091.24282897015,17985.64608558634,31076.88891455649,1079.51,4894.403256616191,135365.01567610743,0.10889524370367575,0.4796573875802998
2025-10-31 18:38:00,17172.35460329138,13904.534311265093,31076.888914556475,1090.67,3267.8202920262866,135013.83795197512,0.10861273656058795,0.4748663101604278
2025-10-31 23:41:00,14773.71079924151,16303.178115314962,31076.88891455647,1087.835,1529.4673160734528,136084.564937137,0.10947408966136468,0.48822269807280516
2025-11-01 01:22:00,15179.146914247445,15897.742000309005,31076.88891455645,1089.01,718.5950860615594,133836.61458490317,0.10766571177127536,0.44385026737967914
2025-11-01 05:17:00,15880.233282471554,15196.65563208491,31076.888914556464,1088.585,683.5776503866437,133562.0723813028,0.10744485455777243,0.43529411764705883
2025-11-01 11:11:00,16144.071355026583,14932.817559529889,31076.88891455647,1090.5349999999999,1211.2537954966938,132091.5103851444,0.10626185165149567,0.40748663101604277
2025-11-01 15:19:00,17083.49142251419,13993.397492042282,31076.888914556475,1095.825,3090.0939304719086,133058.22236285804,0.10703952922112912,0.4261241970021413
2025-11-01 20:28:00,16093.091043631714,14983.79787092473,31076.888914556446,1093.02,1109.2931727069827,131191.32378763251,0.10553769084506258,0.3897216274089936
2025-11-02 04:46:00,14541.900152816765,16534.988761739696,31076.88891455646,1084.75,1993.0886089229316,133097.28984634837,0.10707095730551504,0.42780748663101603
2025-11-02 10:17:00,14199.091025701964,16877.79788885451,31076.888914556475,1082.06,2678.706863152547,131310.01727595125,0.105633174573055,0.39037433155080214
2025-11-02 15:14:00,12871.89855885757,18204.990355698897,31076.888914556468,1079.665,5333.091796841327,126620.08391045894,0.10186032799051345,0.2983957219251337
