trial,buckets_per_day,vpin_window,cumulative_avoided_dd,avg_avoided_dd,num_successful_exits,max_drawdown,num_exits,total_pnl
61,217,19,1148.739154346452,5.016328184919005,229,-254.76596007464218,237,1004.9966249628573
62,247,12,1419.3393431623101,4.795065348521318,296,-147.75918724283906,309,882.0820214824521
63,248,41,773.6498354601506,4.550881385059709,170,-346.4189282657127,175,1027.4187403856051
64,313,24,1199.4562405409054,4.667144904828426,257,-254.73040897182955,262,882.0016794108636
65,228,10,1583.4441829059213,5.075141611877953,312,-146.59013887432286,324,979.9245749578415
66,230,56,718.4983114527605,4.85471832062676,148,-346.55482654096113,153,1085.3033818619062
67,276,318,302.34467880164067,4.0312623840218755,75,-508.31047580980874,77,1466.1429465860008
68,214,36,760.8049409707907,4.725496527768886,161,-346.38552488738196,171,1061.620079396612
69,177,10,1361.5677808619332,5.005763900227696,272,-254.59750642300605,282,872.8993979032878
70,199,170,373.8680468348782,4.5044342992154,83,-483.53851203813406,85,1398.6259756793086
71,238,20,1091.9779397867546,4.72717722851409,231,-254.64002983269256,238,896.8379291136841
72,252,10,1607.3601100517624,5.054591541043277,318,-160.61679359431605,334,845.9858983966473
73,224,30,851.4497491233967,4.577686823244068,186,-346.3676777041369,190,1067.7319083791267
74,266,22,1130.6196079222243,4.633686917714034,244,-254.76545376470892,247,870.4074909249775
75,254,44,753.7562224194934,4.540700135057189,166,-346.3141471874279,173,1046.6478082958727
76,284,19,1198.2376485062591,4.644331970954493,258,-254.71410202623963,269,833.8407955521734
77,236,48,697.1872010133452,4.679108731633188,149,-346.5653579771515,156,1081.9854984846486
78,202,37,760.4113125170167,4.636654344615955,164,-346.5245511983792,171,1074.8118897615082
79,213,273,306.16641724382123,4.252311350608627,72,-1575.7548969191384,75,1671.776830772154
80,190,10,1425.506237437293,5.054986657579053,282,-254.76721607169873,295,910.4501701222526
81,190,10,1425.506237437293,5.054986657579053,282,-254.76721607169873,295,910.4501701222526
82,223,27,874.977856204483,4.605146611602542,190,-254.49165420763336,196,874.4841161272942
83,181,20,950.4305058209234,4.800154069802644,198,-254.57111209659013,207,900.3693584032537
84,196,33,740.1096425324097,4.8373179250484295,153,-346.32229630360246,162,1085.1303920231937
85,241,17,1214.289343739237,4.876664031081273,249,-254.7595036561637,258,890.6731852290478
86,161,55,526.5707027524473,4.4624635826478585,118,-514.9153458962948,126,1336.0096503068596
87,207,10,1382.4527805637547,4.718268875644215,293,-148.68921583564702,305,840.7372789800563
88,227,31,844.5326568326994,4.5162174162176445,187,-346.3154187332891,195,1061.961586745327
89,254,42,762.9550744306855,4.514527067637193,169,-346.31414718742803,173,1029.4976760229385
90,176,74,507.9009704760411,4.83715209977182,105,-515.0778753951706,110,1339.9194770238212
91,188,10,1410.5178447335195,5.1667320319909145,273,-254.75253805847103,290,917.2485704333924
92,218,18,1085.2259241915428,4.521774684131429,240,-254.76803369925295,247,873.770774306464
93,194,28,892.1007036900352,4.956115020500196,180,-346.43322465639267,188,1085.147372721458
94,231,17,1164.596287658598,4.7149647273627435,247,-254.669867717643,255,866.5372377620581
95,61,10,786.4441816273425,5.173974879127253,152,-346.77866039300693,165,1038.57331059513
96,210,25,898.7271894246962,4.493635947123481,200,-254.6020937885715,205,846.4426081201681
97,243,38,826.4158885496577,4.722376505998044,175,-346.24350560488244,181,1143.025874598028
98,203,48,655.0956193296682,4.781719849121665,137,-346.55267644218407,146,1103.2294303403478
99,190,202,323.21088932494416,4.309478524332589,75,-507.30709293524785,77,1469.7861141269132
